,user_id,user_movie,user_name,user_pop
0,cbw506021,1910,苇间疯,3479
1,richer725,7646,荔枝超人,9065
2,aixiaoke,2864,艾小柯,112141
3,viennavirus,1138,viennavirus,13213
4,HWWizard,2850,芹泽虾饺菌,1380
5,seven117,1336,达米并斯索老虎,3612
6,aleckplayer,1435,低端中年犬夜叉,9883
7,luanluanyu,498,暖鱼,2137
8,adelebleu,3065,adele,656
9,qijiuzhiyue,10186,桃桃淘电影,140685
10,cloudlandlord,,琧婯,
11,MissNight,1581,晚安小姐,2675
12,Lan.die,3521,Lan~die,1335
13,tjz230,3964,影志,96162
14,airan712,2734,Q。,14835
15,x-miyako,1388,roxanneX,3732
16,axdoor,,Asånant,
17,duchamp,2740,逍遥兽,12999
18,Hamlet-Luang,1273,大时代歌姬,22660
19,dotann,179,dotann,2309
20,bighead,1268,大头绿豆,10359
21,pig1983,907,herbaceous,11919
22,conanemily,4172,米粒,44371
23,danyboy,2265,danyboy,38239
24,vividtime,3015,LORENZO,19482
25,CFJ,7535,左胸上的吸盘,6630
26,87492129,1596,砂糖橘,249
27,jinjidetutu,747,大耳朵_,96
28,131929722,1876,33.3,200
29,Nokia95,1897,冰红深蓝,3964
30,ipodmelody,1693,伍德与夏洛蒂,49744
31,49503327,636,菠萝蜜,73
32,58766653,906,杨大志°,144
33,148179414,625,婷婷,160
34,57542378,1900,梦里诗书,1098
35,zeroqq,1631,娘圈圈 瞎比比,17729
36,little_cupid,3734,37°2,1362
37,158679347,689,X,109
38,96419654,623,金正峰江湖骗子,121
39,seafans,8260,释凡,3984
40,jywpl,3686,獨孤島主,4712
41,Zizou_Vam,3740,托尼·王大拿,2577
42,150994244,160,茅十八*^_^*,61
43,luzhiyu,8514,陆支羽,26822
44,xilouchen,1554,西楼尘,6694
45,LadyInSatin,4443,九尾黑猫,17921
46,139611792,376,大志的小耳朵,88
47,ugay,1402,独眼,11566
48,cyrus_wong,979,瓦力,828
49,OosakiNana,1306,酱酱酱酱,55
50,pigbigleg,2117,猪大腿,709
51,canny-leon,4129,Hey Johnny,21107
52,Kylin-2015,1870,大侠很忙,103
53,65920647,1683,介意,146
54,matlab,97,架构师,1102
55,kick-my-ass,4857,高压电,4537
56,gtan,,酋长,
57,58762712,,liuqf1999,
58,xingyier,,[已注销],
59,mai_00,1086,麦,66
60,fancybear,859,一笑,151
61,sodayui,2053,Sodayui,192
62,60750002,,香泥,
63,woodysleep,1848,米亚嘟嘟,1264
64,danyuancike,1120,埋玉,29
65,evollozer,,REmember,
66,35819210,1489,hiro,3236
67,4440687,1527,么妮,62
68,42030428,1676,沉雨润心,35
69,euphony,3448,小额么小脚丫儿,587
70,swallowbluebell,2077,小乙,117
71,l87653125,1421,狐狸糊涂,45
72,fastkill,2299,曹阿瞒,279
73,dbhungry,6767,hungry,65
74,sylvialee2011,714,sylvia lee,63
75,49528832,1338,猫知道,34
76,shine905,,卡卡洛特,
77,sjzqzkn,1990,科学家种太阳,1841
78,quenton,,[已注销],
79,51340379,206,MInami,3
80,itzhaoxiangyu,1652,心生,9752
81,1109621,2032,尼斯达,82
82,donchen,,donchen,
83,tianchuan,1906,锡罐头,234
84,Kevin3,2262,的云,310
85,liwenlong,1430,小屋乌,122
86,ura_nium,728,王小武,80
87,goldxfx,967,Lupin_3rd,39
88,wong,1241,旭,46
89,sniperchris,3191,Chris  一切由无聊开始,610
90,50972003,,小肯,
91,mihalin,874,0932313,101
92,bearxcx,2088,Annabel,155
93,liuh886,1176,豪子的书桌,60
94,lajetee,1925,D I D A,2113
95,kasaier,901,卡塞尔少年,381
96,incesticide,2199,Kurt Curtis,452
97,wangdong1120,3567,Bill,2366
98,floathwusu,771,黄无苏,203
99,kicker10,1558,Vince♫,720
100,parala,2104,feiandxs,344
101,panyang,1598,上杉様,162
102,49840485,,钟笑乂,
103,curemyself,1771,Chris Keller,118
104,ocean_kwai,2278,战国客,2039
105,1122936,994,一片云,30
106,leonardoxue,,洛城克吾,
107,Andy9,1422,Andy,130
108,2772099,2234,中雪君,200
109,fangfangjiang,,方方酱,
110,16872610,2231,绿了芭蕉,11
111,lilylillylillie,1326,ly莉,33
112,plastictreeman,2862,马西嘻嘻嘻,544
113,3690148,364,唯一的桃乐囍,186
114,jason1876,1503,Jason1876,49
115,128016627,667,荔枝白羊悅,308
116,2072165,1175,hui,38
117,vivi6n,1723,陈毛毛,1287
118,danielx,,Daniel X,
119,BlindwolfHyn,3306,南國紅豆北國枳,266
120,2859691,,最烦装逼,
121,frankel,,Frankel,
122,3589989,1521,虹口一条龙,102
123,tina,1474,痞子笛,1200
124,samfarewell,2121,疯狂的二狗,222
125,maggiore,2111,stardust,47
126,3263361,2841,CC,51
127,MagicK,4930,麦小白,623
128,jeffersontang,4993,缓步动物,1040
129,1454618,3336,一一,404
130,31316178,1027,geek,87
131,2946082,1581,浮影人生,221
132,32144547,,Amazing lisa！,
133,48239475,,千山远,
134,wj8198026,2653,逆风青年点叉叉,257
135,nataliele,,nataliele,
136,10710034,1621,hsein,72
137,fuxiu,3050,高等游民阿朽,1637
138,Shirleywjz,1226,-VeronicaWooo-,48
139,centlelover,1214,神迦乐小舞,468
140,pinpoint,1762,흫_흫,163
141,Anguszyz,2994,Z,179
142,44021817,,Moriarty,
143,ilovehongkou,1247,胖得来要戏,25
144,57293187,1599,╰fabulousゝ,29
145,happyencai,1975,米娜,47
146,2255123,,skywalker,
147,terenceyibo,1157,Terence_W_Yang,2605
148,3018843,,[已注销],
149,4585023,,乐事,
150,32609644,,空,
151,arielxianwu,1344,小美人鱼,158
152,4520634,1565,漏查的小土,45
153,xiaoyuxuan,2671,小鱼,25
154,mikaLynn,1958,友邻广播,51
155,zeroclan,1156,Zeroclan,30
156,Yuenyuan,1611,我不是童男几,262
157,fudorec,,Fudo,
158,nmw,1807,小牛魔王,216
159,62469238,1252,爱幻想的小孩,3443
160,zishuiyilan,2817,薇羅尼卡,8570
161,imoviekobe,2745,正义B胜,78
162,49062903,,辰星祭,
163,4089988,1502,分岔花园,93
164,3266143,1170,莫云轩,350
165,luoxuan2379,1446,死咗,871
166,melodygxl,2730,十个斗的眼窝浅,98
167,3355859,1177,REX,21
168,iamswan,2651,swan,119
169,44484685,1558,lydia,37
170,mgbs,813,浪费好运听从心,187
171,3567902,,Sean,
172,yeshunjia,4382,南條某葉,688
173,mother_rose,2355,哈卡,326
174,nobita,2344,nobita,71
175,32251971,1666,Bright,22
176,punkbomb,1570,[][][][],210
177,panda7,1225,Moony,3834
178,1469548,966,tintin,109
179,Tokay,1426,铁皮骑士,98
180,Easy_Rider,3996,Marty McFly,74
181,y328675858,3737,私房歌,70
182,zmengli,,[已注销],
183,landcontinent,1640,旅舟,393
184,15366826,,林小佐,
185,root,958,蛮吉,171
186,funny_v,601,funny_vee,1203
187,hokey,1934,猫阿水,313
188,shybe,3275,追风少年,387
189,sabine1987,2097,左耳失明,171
190,chariey,1505,Chariey,39
191,3305440,988,enzo去了夏天里,105
192,ilrei,1305,东呆,65
193,Mandoline,1713,护念,3024
194,wuxiaoru,1949,啸如,71
195,xqbnbzx1996,1820,Naza,207
196,1780962,,豆瓣。酱,
197,cancerorange,2306,翁妞妞。,797
198,helloivan,2289,Ivan,115
199,Corrinne,1374,corrinne,25
